id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,cease_year,institute_service,institute
585,Resignation-Other employer,07/2013,2008.0,2008.0,School Administrative Staff,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,51-55,,,,,,2013.0,15886 days 23:59:59.999997992,DETE
586,Resignation-Move overseas/interstate,06/2013,2012.0,2013.0,Teacher Aide,,,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,,,,,2013.0,15856 days 23:59:59.999997988,DETE
587,Resignation-Move overseas/interstate,09/2010,1999.0,2000.0,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,51-55,,,,,,2010.0,14852 days 23:59:59.999998001,DETE
589,Resignation-Other employer,06/2013,2011.0,2011.0,Other,,South East,,Temporary Part-time,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Male,31-35,,,,,Yes,2013.0,15856 days 23:59:59.999997989,DETE
590,Resignation-Other reasons,09/2013,1985.0,1989.0,Other,,Metropolitan,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Male,61 or older,,,,,Yes,2013.0,15948 days 23:59:59.999998015,DETE
591,Resignation-Other employer,01/2014,2005.0,2012.0,Public Servant,,Metropolitan,,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,Female,31-35,,,,,,2014.0,16070 days 23:59:59.999997995,DETE
593,Resignation-Other reasons,06/2013,2001.0,2010.0,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,,2013.0,15856 days 23:59:59.999997999,DETE
594,Resignation-Other reasons,06/2013,2005.0,2009.0,Teacher,Secondary,,,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,Female,36-40,,,,,,2013.0,15856 days 23:59:59.999997995,DETE
602,Resignation-Other employer,07/2013,2010.0,2010.0,Public Servant,AO5-AO7,Central Office,Other,Permanent Full-time,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,,,,,,2013.0,15886 days 23:59:59.999997990,DETE
605,Resignation-Other reasons,07/2013,1996.0,1996.0,Schools Officer,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,,2013.0,15886 days 23:59:59.999998004,DETE
608,Resignation-Other reasons,06/2013,2004.0,2011.0,Teacher,Primary,,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,,,,,,2013.0,15856 days 23:59:59.999997996,DETE
609,Resignation-Other reasons,07/2013,2004.0,2012.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,Female,31-35,,,,,,2013.0,15886 days 23:59:59.999997996,DETE
611,Resignation-Other reasons,06/2013,1989.0,1989.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,61 or older,,,,,,2013.0,15856 days 23:59:59.999998011,DETE
613,Resignation-Other reasons,06/2013,1993.0,1999.0,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,,2013.0,15856 days 23:59:59.999998007,DETE
614,Resignation-Move overseas/interstate,06/2013,2010.0,2010.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,26-30,,,,,,2013.0,15856 days 23:59:59.999997990,DETE
618,Resignation-Other reasons,09/2013,1996.0,2008.0,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,Female,51-55,,,,,,2013.0,15948 days 23:59:59.999998004,DETE
620,Resignation-Other employer,06/2013,2003.0,2004.0,Teacher,Special Education,South East,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,2013.0,15856 days 23:59:59.999997997,DETE
622,Resignation-Other reasons,06/2013,1983.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,51-55,,,,,,2013.0,15856 days 23:59:59.999998017,DETE
624,Resignation-Move overseas/interstate,07/2013,2004.0,2007.0,Teacher,Special Education,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,,2013.0,15886 days 23:59:59.999997996,DETE
626,Resignation-Other reasons,05/2013,2011.0,2011.0,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,2013.0,15825 days 23:59:59.999997989,DETE
627,Resignation-Other reasons,05/2013,2010.0,2010.0,Public Servant,A01-A04,Central Office,Other,Permanent Part-time,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,,,,,,2013.0,15825 days 23:59:59.999997990,DETE
632,Resignation-Other reasons,08/2013,2006.0,2008.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,Male,41-45,,,,Yes,,2013.0,15917 days 23:59:59.999997994,DETE
638,Resignation-Other reasons,09/2013,2013.0,2013.0,Teacher Aide,,Darling Downs South West,,Casual,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,,,,,,2013.0,15948 days 23:59:59.999997987,DETE
642,Resignation-Move overseas/interstate,09/2013,2010.0,2010.0,"School Based Professional Staff (Therapist, nurse, etc)",,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,,2013.0,15948 days 23:59:59.999997990,DETE
643,Resignation-Move overseas/interstate,09/2013,2010.0,2010.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,,,,,Yes,2013.0,15948 days 23:59:59.999997990,DETE
648,Resignation-Other reasons,09/2013,1992.0,1997.0,Technical Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,,2013.0,15948 days 23:59:59.999998008,DETE
650,Resignation-Other employer,09/2013,1995.0,2008.0,Teacher Aide,,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,,2013.0,15948 days 23:59:59.999998005,DETE
651,Resignation-Other employer,10/2013,1996.0,2003.0,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,,2013.0,15978 days 23:59:59.999998004,DETE
652,Resignation-Other reasons,09/2013,2010.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,,2013.0,15948 days 23:59:59.999997990,DETE
653,Resignation-Move overseas/interstate,08/2013,1986.0,1993.0,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,61 or older,,,,,Yes,2013.0,15917 days 23:59:59.999998014,DETE
659,Resignation-Move overseas/interstate,09/2013,1971.0,2002.0,Teacher,Secondary,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,61 or older,,,,,,2013.0,15948 days 23:59:59.999998029,DETE
660,Resignation-Other reasons,08/2013,1998.0,,Teacher Aide,Primary,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,Yes,,,,,2013.0,15917 days 23:59:59.999998002,DETE
663,Resignation-Other reasons,09/2013,,,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,46-50,,,,,,2013.0,,DETE
666,Resignation-Other employer,01/2014,1999.0,2013.0,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Male,46-50,,,,,,2014.0,16070 days 23:59:59.999998001,DETE
668,Resignation-Other employer,01/2014,2012.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,,2014.0,16070 days 23:59:59.999997988,DETE
669,Resignation-Other reasons,12/2013,2011.0,2011.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,16039 days 23:59:59.999997989,DETE
671,Resignation-Move overseas/interstate,12/2013,2013.0,2013.0,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,,2013.0,16039 days 23:59:59.999997987,DETE
672,Resignation-Move overseas/interstate,12/2013,2013.0,2013.0,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,,,,,2013.0,16039 days 23:59:59.999997987,DETE
673,Resignation-Other employer,12/2013,2009.0,2009.0,Teacher,Primary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,2013.0,16039 days 23:59:59.999997991,DETE
678,Resignation-Other employer,01/2014,2010.0,2011.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,,2014.0,16070 days 23:59:59.999997990,DETE
680,Resignation-Move overseas/interstate,12/2013,2012.0,2012.0,,,Central Queensland,,Casual,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,,2013.0,16039 days 23:59:59.999997988,DETE
684,Resignation-Other employer,11/2013,1988.0,1991.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,46-50,,,,,,2013.0,16009 days 23:59:59.999998012,DETE
685,Resignation-Other employer,,2011.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,,,,DETE
686,Resignation-Other employer,11/2013,2004.0,2004.0,Schools Officer,,South East,,Permanent Full-time,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Female,46-50,,,,,,2013.0,16009 days 23:59:59.999997996,DETE
687,Resignation-Other employer,01/2014,1985.0,2010.0,Public Servant,AO8 and Above,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,,,,,,2014.0,16070 days 23:59:59.999998015,DETE
689,Resignation-Other reasons,11/2013,2013.0,2013.0,Teacher Aide,,Darling Downs South West,,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,2013.0,16009 days 23:59:59.999997987,DETE
692,Resignation-Move overseas/interstate,01/2014,2004.0,2004.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,31-35,,,,,,2014.0,16070 days 23:59:59.999997996,DETE
693,Resignation-Other employer,01/2014,1998.0,2013.0,Teacher,,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,2014.0,16070 days 23:59:59.999998002,DETE
694,Resignation-Other reasons,12/2013,2012.0,2012.0,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,,2013.0,16039 days 23:59:59.999997988,DETE
